Name,IATA,ICAO,Country
Interlink Airlines,ID,ITK,South Africa
Solomon Airlines,IE,SOL,Solomon Islands
Islas Airways,IF,ISW,Spain
Meridiana,IG,ISS,Italy
Falcon Aviation,IH,,Sweden
Falcon Air (IH),IH,\N,Sweden
IBC Airways,II,CSQ,United States
LSM International ,II,UWW,Russia
Great Wall Airlines,IJ,GWL,China
InteliJet Airways,IJ,IJT,Colombia
Transport Aérien Transrégional,IJ,\N,France
AirLiberté,IJ,\N,France
T.A.T,IJ,\N,France
Spring Airlines Japan,IJ,SJO,Japan
Imair Airlines,IK,ITX,Azerbaijan
Lankair,IK,LKN,Sri Lanka
Illinois Airways,IL,ILW,United States
Fly Illi,IL,ILY,United States
Menajet,IM,MNJ,Lebanon
MAT Macedonian Airlines,IN,MAK,Macedonia
Indonesian Airlines,IO,IAA,Indonesia
Atyrau Air Ways,IP,JOL,Kazakhstan
Island Spirit,IP,ISX,Iceland
Augsburg Airways,IQ,AUB,Germany
Iran Air,IR,IRA,Iran
Island Airlines,IS,,United States
Kingfisher Airlines,IT,KFR,India
Wind Jet,IV,JET,Italy
AOM French Airlines,IW,AOM,France
Wings Air,IW,WON,Indonesia
Air India Express,IX,AXB,India
Yemenia,IY,IYE,Yemen
Arkia Israel Airlines,IZ,AIZ,Israel
OneJet,J1,\N,United States
Azerbaijan Airlines,J2,AHY,Azerbaijan
Northwestern Air,J3,PLR,Canada
Buffalo Airways,J4,BFL,Canada
ALAK,J4,\N,Russia
Alaska Seaplane Service,J5,\N,United States
AVCOM,J6,AOC,Russia
Centre-Avia,J7,CVC,Russia
ValueJet,J7,VJA,United States
Denim Air ,J7,\N,Norway
Berjaya Air,J8,BVT,Malaysia
Guinee Airlines,J9,GIF,Guinea
Jazeera Airways,J9,JZR,Kuwait
Air Bosna,JA,BON,Bosnia and Herzegovina
B&H Airlines,JA,BON,Bosnia and Herzegovina
Helijet,JB,JBA,Canada
JAL Express,JC,JEX,Japan
Japan Air System,JD,JAS,Japan
Mango,JE,MNO,South Africa
Jetairfly,JF,JAF,Belgium
L.A.B. Flying Service,JF,LAB,United States
Jetgo Australia,JG,\N,Australia
Nordeste Linhas Aereas Regionais,JH,NES,Brazil
Fuji Dream Airlines,JH,\N,Japan
Midway Airlines,JI,MDW,United States
TAM Brazilian Airlines,JJ,TAM,Brazil
Spanair,JK,JKK,Spain
Japan Airlines,JL,JAL,Japan
Japan Airlines Domestic,JL,JAL,Japan
Air Jamaica,JM,AJM,Jamaica
Excel Airways,JN,XLA,United Kingdom
JALways,JO,JAZ,Japan
Adria Airways,JP,ADR,Slovenia
Jetstar Airways,JQ,JST,Australia
Aero California,JR,SER,Mexico
Joy Air,JR,JOY,China
Air Koryo,JS,KOR,Democratic People's Republic of Korea
Lion Mentari Airlines,JT,LNI,Indonesia
Jat Airways,JU,JAT,Serbia
Air Serbia,JU,ASL,Serbia
Bearskin Lake Air Service,JV,BLS,Canada
Arrow Air,JW,APW,United States
Jett8 Airlines Cargo,JX,JEC,Singapore
Jusur airways,JX,JSR,Egypt
Air Turks and Caicos,JY,TCI,Turks and Caicos Islands
Aereonautica militare,JY,AXZ,Italy
Skyways Express,JZ,SKX,Sweden
Kostromskie avialinii,K1,KOQ,Russia
Eurolot,K2,ELO,Poland
Atlantic Air Cargo,K3,\N,United States
Kalitta Air,K4,CKS,United States
Aban Air,K5,ABE,Iran
Wings of Alaska,K5,WAK,United States
SeaPort Airlines,K5,SQH,United States
Bravo Air Congo,K6,BRV,Democratic Republic of the Congo
Cambodia Angkor Air (K6),K6,\N,Cambodia
KoralBlue Airlines,K7,KBR,Egypt
Airlink Zambia,K8,ZAK,Zambia
Zambia Skyways,K8,\N,Zambia
Krylo Airlines,K9,KRI,Russia
Dragonair,KA,HDA,DRAGON
Druk Air,KB,DRK,Bhutan
Air Astana,KC,KZR,Kazakhstan
KD Avia,KD,KNI,Russia
Korean Air,KE,KAL,Republic of Korea
Blue1,KF,BLF,Finland
LAI - Linea Aerea IAACA,KG,BNX,Venezuela
Royal Airways,KG,RAW,United States
Cook Island Air,KH,\N,Cook Islands
Kharkiv Airlines,KH,KHK,Ukraine
Air Atlantique,KI,AAG,United Kingdom
Adam Air,KI,DHI,Indonesia
British Mediterranean Airways,KJ,LAJ,United Kingdom
Atlasjet,KK,KKK,Turkey
KLM Royal Dutch Airlines,KL,KLM,Netherlands
Air Malta,KM,AMC,Malta
China United,KN,\N,China
Alaska Central Express,KO,AER,United States
Kiwi International Air Lines,KP,KIA,United States
Air Cape,KP,\N,South Africa
Dense Airways,KP,DWA,United States
Kenya Airways,KQ,KQA,Kenya
Comores Airlines,KR,CWK,Comoros
Peninsula Airways,KS,PEN,United States
California Western,KT,CWS,United States
VickJet,KT,VKJ,France
Kuwait Airways,KU,KAC,Kuwait
Kavminvodyavia,KV,MVD,Russia
Carnival Air Lines,KW,\N,United States
Cayman Airways,KX,CAY,Cayman Islands
Air S,KY,EQL,Air S
Kibris T,KY,KYV,Turkey
KSY,KY,KSY,Greece
Nippon Cargo Airlines,KZ,NCA,Japan
Dense Connection,KZ,DC2,United States
Lufthansa Systems,L1,,Germany
All Argentina,L1,AL1,Argentina
Lynden Air Cargo,L2,LYC,United States
DHL de Guatemala,L3,JOS,Guatemala
LTU Austria,L3,LTO,Austria
Luchsh Airlines ,L4,LJJ,Russia
Lufttransport,L5,LTR,Norway
Mauritania Airlines International,L6,MAI,Mauritania
Laoag International Airlines,L7,LPN,Philippines
Linea Aerea SAPSA,L7,LNP,Chile
Lugansk Airlines,L7,\N,Ukraine
Air Luxor GB,L8,LXG,Guinea-Bissau
Line Blue,L8,LBL,Germany
Teamline Air,L9,TLW,Austria
All Asia,L9,AL3,China
LAN Airlines,LA,LAN,Chile
Lloyd Aereo Boliviano,LB,LLB,Bolivia
Air Costa,LB,\N,India
Varig Log,LC,VLO,Brazil
Air Hong Kong,LD,AHK,Hong Kong
Linea Turistica Aerotuy,LD,TUY,Venezuela
Liberty Airways,LE,LTY,United States
FlyNordic,LF,NDC,Sweden
Luxair,LG,LGL,Luxembourg
Lufthansa,LH,DLH,Germany
Lufthansa Cargo,LH,GEC,Germany
Leeward Islands Air Transport,LI,LIA,Antigua and Barbuda
Sierra National Airlines,LJ,SLA,Sierra Leone
Jin Air,LJ,JNA,South Korea
Air Luxor,LK,LXR,Portugal
Allegro,LL,GRO,Mexico
Linhas A,LM,LAM,Mozambique
Livingston,LM,LVG,Italy
Libyan Arab Airlines,LN,LAA,Libya
LOT Polish Airlines,LO,LOT,Poland
LAN Peru,LP,LPE,Peru
Lebanese Air Transport,LQ,LAQ,Lebanon
LCM AIRLINES,LQ,LMM,Russia
LACSA,LR,LRC,Costa Rica
Jet2.com,LS,EXS,United Kingdom
LTU International,LT,LTU,Germany
Air Lituanica,LT,LTU,Lithuania
LAN Express,LU,LXP,Chile
Albanian Airlines,LV,LBC,Albania
Pacific Wings,LW,NMI,United States
Swiss International Air Lines,LX,SWR,Switzerland
El Al Israel Airlines,LY,ELY,Israel
Balkan Bulgarian Airlines,LZ,,
Aero Mongolia,M0,MNG,Mongolia
Maryland Air,M1,M1F,United States
Mahfooz Aviation,M2,MZS,Gambia
MHS Aviation GmbH,M2,\N,Germany
ABSA - Aerolinhas Brasileiras,M3,TUS,Brazil
Air Service,M3,SPJ,Macedonia
North Flying,M3,NFA,Denmark
Nova Airline,M4,NOV,Sudan
Marysya Airlines,M4,1QA,Russia
Kenmore Air,M5,KEN,United States
Amerijet International,M6,AJT,United States
MasAir,M7,MAA,Mexico
Marsland Aviation,M7,MSL,Sudan
Tropical Airways,M7,TBG,Haiti
Trans Maldivian Airways,M8,TMW,Maldives
TransNusa Air,M8,TNU,Indonesia
Motor Sich,M9,MSI,Ukraine
Malév,MA,MAH,Hungary
Execair Aviation,MB,EXA,Canada
MNG Airlines,MB,MNB,Turkey
Air Mobility Command,MC,RCH,United States
Air Madagascar,MD,MDG,Madagascar
Middle East Airlines,ME,MEA,Lebanon
Xiamen Airlines,MF,CXA,China
Champion Air,MG,CCP,United States
Malaysia Airlines,MH,MAS,Malaysia
SilkAir,MI,SLK,Singapore
L,MJ,LPR,Argentina
Air Mauritius,MK,MAU,Mauritius
African Transport Trading and Investment Company,ML,,Sudan
Maldivo Airlines,ML,MAV,Maldives
Peach Aviation,MM,\N,Japan
Comair,MN,CAW,South Africa
Abu Dhabi Amiri Flight,MO,AUH,United Arab Emirates
Calm Air,MO,CAV,Canada
Martinair,MP,MPH,Netherlands
American Eagle Airlines,MQ,EGF,United States
Air Mauritanie,MR,MRT,Mauritania
Homer Air,MR,OME,Germany
Egyptair,MS,MSR,Egypt
Thomas Cook Airlines,MT,TCX,United Kingdom
China Eastern Airlines,MU,CES,China
Armenian International Airways,MV,RML,Armenia
Maya Island Air,MW,MYD,Belize
Mexicana de Aviaci,MX,MXA,Mexico
Maxjet Airways,MY,MXJ,United States
Midwest Airlines (Egypt),MY,MWA,Egypt
Merpati Nusantara Airlines,MZ,MNA,Indonesia
Norte Lineas Aereas,N0,\N,Argentina
N1,N1,\N,Peru
Dagestan Airlines,N2,DAG,Russia
Kabo Air,N2,QNK,Nigeria
Omskavia Airline,N3,OMS,Russia
Mountain Air Company,N4,MTC,Sierra Leone
National Airlines,N4,NCN,Chile
Minerva Airlines,N4,\N,Italy
Regionalia México,N4,J88,Mexico
Kyrgyz Airlines,N5,KGZ,Kyrgyzstan
Skagway Air Service,N5,SGY,United States
Lagun Air,N6,JEV,Spain
Nuevo Continente,N6,ACQ,Peru
Aerocontinente (Priv),N6,\N,Peru
National Airlines,N7,ROK,United States
All Spain,N7,N77,Spain
Fika Salaama Airlines,N8,HGK,Uganda
National Air Cargo,N8,NCR,United States
North Coast Aviation,N9,,Papua New Guinea
All Europe,N9,N99,United Kingdom
National Airlines,NA,NAL,United States
Al-Naser Airlines,NA,\N,Iraq
Sterling Airlines,NB,SNB,Denmark
National Jet Systems,NC,NJS,Australia
Northern Air Cargo,NC,NAC,United States
SkyEurope,NE,ESK,Slovakia
Air Vanuatu,NF,AVN,Vanuatu
Lauda Air,NG,LDA,Austria
All Nippon Airways,NH,ANA,Japan
Portugalia,NI,PGA,Portugal
Nihon.jet,NJ,\N,Japan
Nordic Global Airlines,NJ,NGB,Finland
Spirit Airlines,NK,NKS,United States
Shaheen Air International,NL,SAI,Pakistan
Air Madrid,NM,DRD,Spain
Mount Cook Airlines,NM,NZM,New Zealand
VIM Airlines,NN,MOV,Russia
Aus-Air,NO,AUS,Australia
Neos,NO,NOS,Italy
North Pacific Airlines,NO,\N,United States
Nile Air,NP,NIA,Egypt
Air Japan,NQ,AJX,Japan
Pamir Airways,NR,PIR,Afghanistan
Jettor Airlines,NR,JTO,Hong Kong
Caucasus Airlines,NS,\N,Georgia
Binter Canarias,NT,IBB,Spain
Japan Transocean Air,NU,JTA,Japan
Air Central,NV,CRF,Japan
Naka Nihon Airlines Service,NV,ALS,Japan
Northwest Airlines,NW,NWA,United States
Air Macau,NX,AMU,Macao
Air Iceland,NY,FXI,Iceland
Air New Zealand,NZ,ANZ,New Zealand
Orbit Airlines Azerbaijan,O1,OAB,Azerbaijan
Oceanic Airlines,O2,,Guinea
Oceanair,O6,ONE,Brazil
Ozjet Airlines,O7,OZJ,Australia
Oasis Hong Kong Airlines,O8,OHK,Hong Kong
Olympic Airlines,OA,OAL,Greece
Astrakhan Airlines,OB,ASZ,Russia
Catovair,OC,\N,Mauritius
Zuliana de Aviacion,OD,ULA,Venezuela
Malindo Air,OD,MXD,Malaysia
Asia Overnight Express,OE,AOT,Philippines
WestAir,OE,\N,United States
WestAir Airlines,OE,\N,United States
WestAir Airlines ,OE,\N,United States
Air Finland,OF,FIF,Finland
Transports et Travaux A,OF,,
1-2-go,OG,\N,Thailand
AirOnix,OG,\N,Ukraine
Comair,OH,COM,United States
Orchid Airlines,OI,ORC,Australia
Overland Airways,OJ,OLA,Nigeria
Czech Airlines,OK,CSA,Czech Republic
Ostfriesische Lufttransport,OL,OLT,Germany
MIAT Mongolian Airlines,OM,MGL,Mongolia
Nauru Air Corporation,ON,RON,Nauru
Our Airline,ON,RON,Nauru
SkyWest,OO,SKW,United States
Chalk's Ocean Airways,OP,CHK,United States
Air Pegasus,OP,PPL,India
Chongqing Airlines,OQ,CQN,China
Arkefly,OR,TFL,Netherlands
Austrian Airlines,OS,AUA,Austria
Aeropelican Air Services,OT,PEL,Australia
Croatia Airlines,OU,CTN,Croatia
Estonian Air,OV,ELL,Estonia
Executive Airlines,OW,EXK,United States
Orient Thai Airlines,OX,OEA,Thailand
Omni Air International,OY,OAE,United States
Asiana Airlines,OZ,AAR,Republic of Korea
Ozark Air Lines,OZ,OZR,United States
Proflight Commuter Services,P0,,Zambia
Patriot Airways,P4,\N,United States
AeroRep,P5,RPB,Colombia
Russian Sky Airlines,P7,ESL,Russia
Regional Paraguaya,P7,REP,Paraguay
Pantanal Linhas Aéreas,P8,PTN,Brazil
Air Mekong,P8,MKG,Vietnam
Nas Air,P9,,Mali
Perm Airlines,P9,PGP,Russia
Peruvian Airlines,P9,\N,Peru
Florida Coastal Airlines,PA,FCL,United States
Pan American Airways,PA,PAA,United States
Pan American World Airways,PA,PAA,United States
Parmiss Airlines (IPV),PA,IPV,Iran
Air Fiji,PC,FAJ,Fiji
Continental Airways,PC,PVV,Russia
Pegasus Airlines,PC,PGT,Turkey
Porter Airlines,PD,POE,Canada
Air Europe,PE,AEL,Italy
Palestinian Airlines,PF,PNW,Egypt
Primera Air,PF,\N,Iceland
Bangkok Airways,PG,BKP,Thailand
Polynesian Airlines,PH,PAO,Samoa
Piedmont Airlines (1948-1989),PI,PDT,United States
Sun Air (Fiji),PI,SUF,Fiji
Air Saint Pierre,PJ,SPM,France
Pakistan International Airlines,PK,PIA,Pakistan
Aeroper,PL,PLI,Peru
Airstars,PL,ASE,Russia
Tropic Air,PM,TOS,Belize
West Air China,PN,CHB,China
Polar Air Cargo,PO,PAC,United States
FlyPortugal,PO,FPT,Portugal
Air Indus,PP,AI0,Pakistan
Panafrican Airways,PQ,PNF,Ivory Coast
LSM Airlines,PQ,LOO,Russia
Philippine Airlines,PR,PAL,Philippines
Pacific Southwest Airlines,PS,PSX,United States
Ukraine International Airlines,PS,AUI,Ukraine
Capital Cargo International Airlines,PT,CCI,United States
West Air Sweden,PT,SWN,Sweden
Red Jet Andes,PT,\N,Peru
PLUNA,PU,PUA,Uruguay
PAN Air,PV,PNR,Spain
Precision Air,PW,PRF,Tanzania
Air Niugini,PX,ANG,Papua New Guinea
Surinam Airways,PY,SLM,Suriname
TAM Mercosur,PZ,LAP,Paraguay
Maldivian,Q2,\N,Maldives
Zambian Airways,Q3,MBN,Zambia
SOCHI AIR CHATER,Q3,QER,Russia
Mastertop Linhas Aereas,Q4,,Brazil
SOCHI AIR EXPRESS,Q4,SAE,Russia
40-Mile Air,Q5,MLA,United States
Aero Condor Peru,Q6,CDP,Peru
SkyBahamas Airlines,Q7,\N,Bahamas
Pacific East Asia Cargo Airlines,Q8,PEC,Philippines
Afrinat International Airlines,Q9,AFU,Gambia
Arik Niger,Q9,NAK,Niger
Click (Mexicana),QA,\N,Mexico
Georgian National Airlines,QB,GFG,Georgia
Air Corridor,QC,CRD,Mozambique
Camair-co,QC,\N,Cameroon
Air Class Lineas Aereas,QD,QCL,Uruguay
Dobrolet,QD,DOB,Russia
Crossair Europe,QE,ECC,Switzerland
Qantas,QF,QFA,Australia
Citilink Indonesia,QG,\N,Indonesia
Air Florida,QH,FLZ,United States
Kyrgyzstan,QH,LYN,Kyrgyzstan
Cimber Air,QI,CIM,Denmark
Jet Airways,QJ,,United States
Air Canada Jazz,QK,JZA,Canada
Aero Lanka,QL,RLN,Sri Lanka
Air Malawi,QM,AML,Malawi
Air Armenia,QN,ARR,Armenia
Royal,QN,\N,Canada
Aeromexpress,QO,MPX,Mexico
Origin Pacific Airways,QO,OGN,New Zealand
Air Kenya (Priv),QP,\N,Kenya
Alliance Airlines,QQ,UTY,Australia
Reno Air,QQ,ROA,United States
Qatar Airways,QR,QTR,Qatar
African Safari Airways,QS,QSC,Kenya
Travel Service,QS,TVS,Czech Republic
TAMPA,QT,TPA,Colombia
East African,QU,UGX,Uganda
Lao Airlines,QV,LAO,Lao Peoples Democratic Republic
Blue Wings,QW,BWG,Germany
Horizon Air,QX,QXE,United States
European Air Transport,QY,BCS,Belgium
Red Jet Canada,QY,\N,Canada
Indonesia AirAsia,QZ,AWQ,Indonesia
Royal Airlines,R0,RPK,Pakistan
Sirin,R1,,
Royal Southern Airlines.,R1,RS1,Colombia
Orenburg Airlines,R2,ORB,Russia
Aircompany Yakutia,R3,SYL,Russia
Rossiya,R4,,Russia
Jordan Aviation,R5,JAV,Jordan
Malta Air Charter,R5,MAC,Malta
RACSA,R6,,Guatemala
Aserca Airlines,R7,OCA,Venezuela
Kyrgyzstan Airlines,R8,KGA,Kyrgyzstan
AirRussia,R8,RRJ,Russia
Camai Air,R9,CAM,United States
Nepal Airlines,RA,RNA,Nepal
Royal Nepal Airlines,RA,RNA,Nepal
Air Srpska,RB,SBK,Bosnia and Herzegovina
Syrian Arab Airlines,RB,SYR,Syrian Arab Republic
Atlantic Airways,RC,FLI,Faroe Islands
Ryan International Airlines,RD,RYN,United States
Aer Arann,RE,REA,Ireland
Florida West International Airways,RF,FWL,United States
VRG Linhas Aereas,RG,VRN,Brazil
Republic Express Airlines,RH,RPH,Indonesia
Mandala Airlines,RI,MDL,Indonesia
Royal Jordanian,RJ,RJA,Jordan
Air Afrique,RK,RKA,Ivory Coast
Royal Khmer Airlines,RK,RKH,Cambodia
Royal Falcon,RL,RFJ,Jordan
Rainbow Air US,RM,RNY,United States
Rainbow Air (RAI),RN,RAB,United States
Tarom,RO,ROT,Romania
Chautauqua Airlines,RP,CHQ,United States
Kam Air,RQ,KMF,Afghanistan
Royal Air Force,RR,RFR,United Kingdom
Red Jet America,RR,\N,United States
REXAIR VIRTUEL,RR,RXR,France
Intercontinental de Aviaci,RS,ICT,Colombia
Royal Air Force of Oman,RS,MJN,Oman
Sky Regional,RS,SKV,Canada
Real Tonga,RT,\N,Tonga
AirBridge Cargo,RU,ABW,Russia
SkyKing Turks and Caicos Airways,RU,SKI,Turks and Caicos Islands
Rainbow Air Euro,RU,RUE,United Kingdom
Caspian Airlines,RV,CPN,Iran
Republic Airlines,RW,RPA,United States
Aviaexpress,RX,AEH,Hungary
Rainbow Air Polynesia,RX,RPO,United States
Reno Sky,RY,\N,United States
Rainbow Air Canada,RY,RAY,Canada
Euro Exec Express,RZ,,Sweden
Slok Air Gambia,S0,OKS,Gambia
Spike Airlines,S0,SAL,United States
Serbian Airlines,S1,SA1,Serbia
Air Sahara,S2,RSH,India
Santa Barbara Airlines,S3,BBR,Venezuela
SATA International,S4,RZO,Portugal
Shuttle America,S5,TCF,United States
Trast Aero,S5,TSJ,Kyrgyzstan
Star Air,S6,,Denmark
Salmon Air,S6,\N,United States
S7 Airlines,S7,SBI,Russia
Chari Aviation Services,S8,CSU,Chad
Shovkoviy Shlyah,S8,SWW,Ukraine
Snowbird Airlines,S8,SBD,Finland
East African Safari Air,S9,HSA,Kenya
Starbow Airlines,S9,\N,Ghana
South African Airways,SA,SAA,South Africa
Air Caledonie International,SB,ACI,France
Shandong Airlines,SC,CDG,China
Sudan Airways,SD,SUD,Sudan
XL Airways France,SE,SEU,France
Tassili Airlines,SF,DTH,Algeria
Air Charter International,SF,\N,France
JetsGo,SG,JGO,Canada
Spicejet,SG,SEJ,India
Fly Me Sweden,SH,FLY,Sweden
TAN-SAHSA,SH,\N,Honduras
Aéris (Priv),SH,\N,France
Sharp Airlines,SH,SHA,Australia
Skynet Airlines,SI,SIH,Ireland
Sriwijaya Air,SJ,SJY,Indonesia
Scandinavian Airlines System,SK,SAS,Sweden
Rio Sul Servi,SL,RSL,Brazil
Thai Lion Air,SL,\N,Thailand
Swedline Express,SM,SRL,Sweden
Spirit of Manila Airlines,SM,MNP,Philippines
Brussels Airlines,SN,DAT,Belgium
Superior Aviation,SO,HKA,United States
Sosoliso Airlines,SO,OSL,Nigeria
Salsa d\\'Haiti,SO,SLC,Haiti
SATA Air Acores,SP,SAT,Portugal
Singapore Airlines,SQ,SIA,Singapore
Singapore Airlines Cargo,SQ,SQC,Singapore
Swissair,SR,SWR,Switzerland
Corsairfly,SS,CRL,France
Germania,ST,GMI,Germany
Aeroflot Russian Airlines,SU,AFL,Russia
Saudi Arabian Airlines,SV,SVA,Saudi Arabia
Air Namibia,SW,NMB,Namibia
Sky Work Airlines,SX,SRK,Switzerland
Skybus Airlines,SX,SKB,United States
Starling Airlines Spain,SX,STS,Spain
SkyWork Airlines ,SX,\N,Switzerland
Sun Country Airlines,SY,SCX,United States
Salzburg arrows,SZ,\N,Austria
TACA Peru,T0,\N,Peru
TROPICAL LINHAS AEREAS,T1,TP3,Brazil
Thai Air Cargo,T2,TCG,Thailand
Eastern Airways,T3,EZE,United Kingdom
Hellas Jet,T4,HEJ,Greece
Turkmenistan Airlines,T5,TUA,Turkmenistan
Tavrey Airlines,T6,TVR,Ukraine
Trans Pas Air,T6,TP6,United States
Twin Jet,T7,TJT,France
TAN,T8,\N,Argentina
TransMeridian Airlines,T9,TRZ,United States
Thai Star Airlines,T9,TSX,Thailand
Grupo TACA,TA,TAT,Costa Rica
TUI Airlines Belgium,TB,TUB,Belgium
TrasBrasil,TB,TBZ,Brazil
Air Tanzania,TC,ATC,Tanzania
Atlantis European Airways,TD,LUR,Armenia
Tulip Air,TD,TLP,Netherland
FlyLal,TE,LIL,Lithuania
Malmö Aviation,TF,SCW,Sweden
Thai Airways International,TG,THA,Thailand
BA Connect,TH,,United Kingdom
Transmile Air Services,TH,TSE,Malaysia
TransBrasil Airlines,TH,THS,Brazil
Tol-Air Services,TI,TOL,United States
TransHolding,TI,THI,Brazil
Transportes Aéreos Nacionales de Selva,TJ,\N,Peru
T.J. Air,TJ,TJA,United States
Turkish Airlines,TK,THY,Turkey
Airnorth,TL,ANO,Australia
Trans Mediterranean Airlines,TL,TMA,Lebanon
Air Mozambique,TM,\N,Mozambique
Air Tahiti Nui,TN,THT,France
President Airlines,TO,PSD,Cambodia
Transavia France,TO,TVF,France
TAP Portugal,TP,TAP,Portugal
Tandem Aero,TQ,TDM,Moldova
Texas Wings,TQ,TXW,United States
Tiger Airways,TR,TGW,Singapore
Air Transat,TS,TSC,Canada
Air Lithuania,TT,KLA,Lithuania
Tiger Airways Australia,TT,TGW,Australia
Tunisair,TU,TAR,Tunisia
Virgin Express,TV,VEX,Belgium
Trans World Airlines,TW,TWA,United States
Tway Airlines,TW,TWB,South Korea
Air Caraïbes,TX,FWI,France
Air Cal,TY,TPC,France
Iberworld,TY,IWD,Spain
Scoot,TZ,SCO,Singapore
AirOne Polska,U1,1,Poland
Aviabus,U1,ABI,Russia
easyJet,U2,EZY,United Kingdom
United Feeder Service,U2,,United States
Avies,U3,AIA,Estonia
PMTair,U4,PMT,Cambodia
USA3000 Airlines,U5,GWY,United States
Ural Airlines,U6,SVR,Russia
Northern Dene Airways,U7,,Canada
USA Jet Airlines,U7,JUS,United States
Armavia,U8,RNV,Armenia
Tatarstan Airlines,U9,TAK,Russia
United Airlines,UA,UAL,United States
Myanma Airways,UB,UBA,Myanmar
Hex'Air,UD,HER,France
Nasair,UE,NAS,Eritrea
Transeuropean Airlines,UE,TEP,Russia
UM Airlines,UF,UKM,Ukraine
Tuninter,UG,TUI,Tunisia
US Helicopter Corporation,UH,,United States
Eurocypria Airlines,UI,ECA,Cyprus
AlMasria Universal Airlines,UJ,LMU,Egypt
buzz,UK,BUZ,\N
Air UK,UK,\N,United Kingdom
Air Vistara,UK,VTI,India
SriLankan Airlines,UL,ALK,Sri Lanka
Air Zimbabwe,UM,AZW,Zimbabwe
Transaero Airlines,UN,TSO,Russia
Hong Kong Express Airways,UO,HKE,Hong Kong SAR of China
Bahamasair,UP,BHS,Bahamas
O'Connor Airlines,UQ,OCM,Australia
Skyjet Airlines,UQ,SJU,Uganda
UTair-Express,UR,\N,Russia
US Airways,US,USA,United States
UTair Aviation,UT,UTA,Russia
Air Austral,UU,REU,France
UVT Aero,UW,\N,Russia
Air Europa,UX,AEA,Spain
Cameroon Airlines,UY,UYC,Cameroon
El-Buraq Air Transport,UZ,BRQ,Libya
Conviasa,V0,VCV,Venezuela
VIA Líneas Aéreas,V1,VIA,Argentina
Karat,V2,AKT,Russia
Vision Airlines (V2),V2,RBY,United States
Carpatair,V3,KRP,Romania
Reem Air,V4,REK,Kyrgyzstan
Avolar Aerolineas,V5,VLI,Mexico
Royal Aruban Airline,V5,RYL,Aruba
Danube Wings (V5),V5,\N,Slovakia
VIP Ecuador,V6,\N,Ecuador
Air Senegal International,V7,SNG,Senegal
VOLOTEA Airways,V7,VOE,Spain
ATRAN Cargo Airlines,V8,VAS,Russian Federation
BAL Bashkirian Airlines,V9,BTC,Russia
Star1 Airlines,V9,HCW,Lithuania
V Australia Airlines,VA,VAU,Australia
Viasa,VA,,Venezuela
Virgin Australia,VA,VOZ,Australia
Birmingham European,VB,\N,United Kingdom
Pacific Express,VB,\N,United States
Ocean Airlines,VC,VCX,Italy
Voyageur Airways,VC,VAL,Canada
Strategic Airlines,VC,\N,Australia
Air Libert,VD,,France
Kunpeng Airlines,VD,KPA,China
SwedJet Airways,VD,BBB,Sweden
Avensa,VE,AVE,Venezuela
EUjet,VE,EUJ,Ireland
Volare Airlines,VE,VLE,Italy
Valuair,VF,VLU,Singapore
VLM Airlines,VG,VLM,Belgium
Virgin Pacific,VH,VNP,Fiji
Volga-Dnepr Airlines,VI,VDA,Russia
Jatayu Airlines,VJ,JTY,Indonesia
Royal Air Cambodge,VJ,RAC,Cambodia
Virgin Nigeria Airways,VK,VGN,Nigeria
Air VIA,VL,VIM,Bulgaria
Viaggio Air,VM,VOA,Bulgaria
Vietnam Airlines,VN,HVN,Vietnam
Tyrolean Airways,VO,TYR,Austria
VASP,VP,VSP,Brazil
Viking Hellas,VQ,VKH,Greece
TACV,VR,TCV,Portugal
Virgin Atlantic Airways,VS,VIR,United Kingdom
Air Tahiti,VT,VTA,French Polynesia
Air Ivoire,VU,VUN,Ivory Coast
Aerosvit Airlines,VV,AEW,Ukraine
Aeromar,VW,TAO,Mexico
Virgin America,VX,VRD,United States
Formosa Airlines,VY,FOS,Taiwan
Vueling Airlines,VY,VLG,Spain
MyTravel Airways,VZ,MYT,United Kingdom
World Experience Airline,W1,WE1,Canada
Canadian Western Airlines,W2,CWA,Canada
Maastricht Airlines,W2,\N,Netherlands
Arik Air,W3,ARA,Nigeria
World Scale Airlines,W3,WSS,United States
Aero Services Executive,W4,BES,France
AeroWorld ,W4,WER,Russia
Mahan Air,W5,IRM,Iran
Wizz Air,W6,WZZ,Hungary
Austral Brasil,W7,\N,Brazil
Cargojet Airways,W8,CJT,Canada
Abelag Aviation,W9,AAB,Belgium
Air Bagan,W9,JAB,Myanmar
Eastwind Airlines,W9,SGR,United States
KLM Cityhopper,WA,KLC,Netherlands
Western Airlines,WA,WAL,United States
Rwandair Express,WB,RWD,Rwanda
Islena De Inversiones,WC,ISV,Honduras
DAS Air Cargo,WD,DSR,Uganda
Amsterdam Airlines,WD,AAN,Netherlands
Centurion Air Cargo,WE,CWC,United States
Thai Smile Airways,WE,\N,Thailand
Widerøe,WF,WIF,Norway
Sunwing Airlines,WG,SWG,Canada
Worldways,WG,WGC,Canada
Sunwing,WG,\N,Canada
China Northwest Airlines,WH,CNW,China
China Northwest Airlines (WH),WH,\N,China
WebJet Linhas A,WJ,WEB,Brazil
American Falcon,WK,AFB,Argentina
Edelweiss Air,WK,EDW,Switzerland
CheapFlyingInternational,WL,FQR,France
